turbine,hmin,hmax,v,P,cP
Gamesa G80,60,100,0,0,0
Gamesa G80,60,100,1,0,0
Gamesa G80,60,100,2,0,0
Gamesa G80,60,100,3,0,0
Gamesa G80,60,100,4,61,0.309580725
Gamesa G80,60,100,5,149,0.38716876
Gamesa G80,60,100,6,286,0.430067212
Gamesa G80,60,100,7,472,0.446963367
Gamesa G80,60,100,8,736,0.466908634
Gamesa G80,60,100,9,1032,0.45980768
Gamesa G80,60,100,10,1345,0.436864078
Gamesa G80,60,100,11,1591,0.388254212
Gamesa G80,60,100,12,1845,0.34679808
Gamesa G80,60,100,13,1940,0.286810948
Gamesa G80,60,100,14,1968,0.232951247
Gamesa G80,60,100,15,1989,0.191419006
Gamesa G80,60,100,16,1994,0.158120893
Gamesa G80,60,100,17,2000,0.132223084
Gamesa G80,60,100,18,2000,0.111387519
Gamesa G80,60,100,19,2000,0.094709435
Gamesa G80,60,100,20,2000,0.081201502
Gamesa G80,60,100,21,2000,0.07014491
Gamesa G80,60,100,22,2000,0.06100789
Gamesa G80,60,100,23,2000,0.053391305
Gamesa G80,60,100,24,2000,0.04699161
Gamesa G80,60,100,25,2000,0.041575169
EWT Directwind,35,75,0,0,0
EWT Directwind,35,75,1,0,0
EWT Directwind,35,75,2,0.597352862,0.05740349
EWT Directwind,35,75,3,14.7627039,0.420338803
EWT Directwind,35,75,4,41.08808136,0.493552353
EWT Directwind,35,75,5,81.73718262,0.502697805
EWT Directwind,35,75,6,145.6161041,0.51826633
EWT Directwind,35,75,7,229.9006348,0.515280122
EWT Directwind,35,75,8,353.4002686,0.530632997
EWT Directwind,35,75,9,451.1358337,0.475748179
EWT Directwind,35,75,10,491.7589722,0.378050338
EWT Directwind,35,75,11,497.2991333,0.287234753
EWT Directwind,35,75,12,499.2000122,0.222089582
EWT Directwind,35,75,13,499.2000122,0.174679471
EWT Directwind,35,75,14,499.2000122,0.139858163
EWT Directwind,35,75,15,499.2000122,0.113709866
EWT Directwind,35,75,16,499.2000122,0.093694043
EWT Directwind,35,75,17,499.2000122,0.078113332
EWT Directwind,35,75,18,499.2000122,0.065804321
EWT Directwind,35,75,19,499.2000122,0.055951421
EWT Directwind,35,75,20,499.2000122,0.04797135
EWT Directwind,35,75,21,499.2000122,0.041439456
EWT Directwind,35,75,22,499.2000122,0.036041585
EWT Directwind,35,75,23,499.2000122,0.031541941
EWT Directwind,35,75,24,499.2000122,0.027761198
EWT Directwind,35,75,25,499.2000122,0.024561331
Endurance E3120,24.6,36.4,0,0,0
Endurance E3120,24.6,36.4,1,0,0
Endurance E3120,24.6,36.4,2,0,0
Endurance E3120,24.6,36.4,3,0,0
Endurance E3120,24.6,36.4,4,3,0.264327805
Endurance E3120,24.6,36.4,5,8.5,0.383451535
Endurance E3120,24.6,36.4,6,16,0.417703197
Endurance E3120,24.6,36.4,7,26,0.427445546
Endurance E3120,24.6,36.4,8,37.5,0.413012195
Endurance E3120,24.6,36.4,9,46,0.355821242
Endurance E3120,24.6,36.4,10,52.5,0.296047141
Endurance E3120,24.6,36.4,11,55.5,0.235134576
Endurance E3120,24.6,36.4,12,57.5,0.187640108
Endurance E3120,24.6,36.4,13,57,0.146300687
Endurance E3120,24.6,36.4,14,56.5,0.116109006
Endurance E3120,24.6,36.4,15,55.5,0.09273011
Endurance E3120,24.6,36.4,16,53,0.072965488
Endurance E3120,24.6,36.4,17,51,0.058536261
Endurance E3120,24.6,36.4,18,48,0.046411466
Endurance E3120,24.6,36.4,19,44,0.036173742
Endurance E3120,24.6,36.4,20,41,0.02889984
Endurance E3120,24.6,36.4,21,38,0.023138078
Endurance E3120,24.6,36.4,22,35,0.018535383
Endurance E3120,24.6,36.4,23,32,0.014830918
Endurance E3120,24.6,36.4,24,29,0.011829485
Endurance E3120,24.6,36.4,25,26,0.009383285
