id,easting,northing,lat,lon,ws10,ws25,ws45
1,226500,117500,50.92562732,-4.476145602,6.8,7.5,8
2,220500,116500,50.91480194,-4.560946698,5.4,6.2,6.8
3,221500,116500,50.915113,-4.546734282,6.4,7.1,7.6
4,222500,116500,50.91542232,-4.532521614,6.3,7.1,7.6
5,223500,116500,50.91572991,-4.518308696,5.9,6.8,7.4
6,224500,116500,50.91603578,-4.504095529,6.4,7.2,7.7
7,225500,116500,50.91633991,-4.489882115,6.9,7.5,8
8,226500,116500,50.91664232,-4.475668455,6.9,7.5,8
9,220500,115500,50.90581752,-4.560453411,6.3,7.1,7.6
10,221500,115500,50.90612847,-4.546243725,7,7.6,8.1
11,222500,115500,50.9064377,-4.532033787,7,7.6,8.1
12,223500,115500,50.90674519,-4.5178236,6.7,7.4,7.9
13,224500,115500,50.90705096,-4.503613164,6.6,7.4,7.9
14,225500,115500,50.907355,-4.489402481,7,7.6,8.1
15,226500,115500,50.90765731,-4.475191553,6.7,7.4,7.9
16,219500,114500,50.8965205,-4.574167081,5.4,6.3,6.9
17,220500,114500,50.89683308,-4.559960377,6.5,7.2,7.7
18,221500,114500,50.89714393,-4.545753419,7,7.7,8.1
19,222500,114500,50.89745306,-4.531546211,6.6,7.4,7.9
20,223500,114500,50.89776045,-4.517338753,6.5,7.2,7.7
21,224500,114500,50.89806612,-4.503131047,6.5,7.2,7.8
22,225500,114500,50.89837007,-4.488923093,6.5,7.3,7.8
23,226500,114500,50.89867228,-4.474714894,6.3,7.1,7.6
24,227500,114500,50.89897277,-4.460506451,6,6.8,7.4
25,219500,113500,50.88753614,-4.573671572,5.2,6.1,6.7
26,220500,113500,50.88784862,-4.559467595,6.4,7.1,7.6
27,221500,113500,50.88815937,-4.545263365,6.5,7.2,7.7
28,222500,113500,50.8884684,-4.531058884,5.8,6.6,7.3
29,223500,113500,50.8887757,-4.516854154,5.8,6.6,7.3
30,224500,113500,50.88908127,-4.502649176,6.1,6.9,7.5
31,225500,113500,50.88938512,-4.488443951,6.4,7.1,7.6
32,226500,113500,50.88968724,-4.47423848,6.2,7,7.5
33,227500,113500,50.88998763,-4.460032766,5.9,6.7,7.3
34,219500,112500,50.87855176,-4.573176316,5.4,6.2,6.8
35,220500,112500,50.87886414,-4.558975065,6.1,6.9,7.4
36,221500,112500,50.8791748,-4.544773561,5.8,6.6,7.2
37,222500,112500,50.87948372,-4.530571807,5.5,6.4,7
38,223500,112500,50.87979093,-4.516369804,5.4,6.3,6.9
39,224500,112500,50.8800964,-4.502167552,5.9,6.7,7.3
40,225500,112500,50.88040015,-4.487965054,6.5,7.2,7.6
41,226500,112500,50.88070218,-4.47376231,6.3,7,7.5
42,227500,112500,50.88100247,-4.459559323,5.7,6.5,7.1
43,219500,111500,50.86956736,-4.572681314,5,5.9,6.5
44,220500,111500,50.86987965,-4.558482787,5.6,6.5,7
45,221500,111500,50.8701902,-4.544284009,6,6.8,7.3
46,222500,111500,50.87049903,-4.530084979,5.6,6.4,7
47,223500,111500,50.87080614,-4.515885701,4.9,5.9,6.6
48,224500,111500,50.87111152,-4.501686175,5.8,6.6,7.2
49,225500,111500,50.87141517,-4.487486402,6.5,7.2,7.6
50,226500,111500,50.8717171,-4.473286384,6,6.8,7.3
51,227500,111500,50.8720173,-4.459086122,5.6,6.4,7
52,228500,111500,50.87231577,-4.444885619,5.6,6.4,6.9
53,219500,110500,50.86058295,-4.572186565,,,
54,220500,110500,50.86089513,-4.557990762,5.5,6.3,6.9
55,221500,110500,50.86120559,-4.543794707,6.4,7.1,7.6
56,222500,110500,50.86151432,-4.529598401,6.5,7.1,7.6
57,223500,110500,50.86182133,-4.515401846,6.1,6.9,7.4
58,224500,110500,50.86212661,-4.501205044,6.2,7,7.5
59,225500,110500,50.86243017,-4.487007995,6.1,6.9,7.4
60,226500,110500,50.862732,-4.472810701,5.9,6.7,7.2
61,227500,110500,50.8630321,-4.458613164,5.6,6.3,6.9
62,228500,110500,50.86333048,-4.444415385,5.5,6.2,6.8
63,219500,109500,50.85159852,-4.57169207,,,
64,220500,109500,50.8519106,-4.557498988,5.6,6.3,6.8
65,221500,109500,50.85222096,-4.543305655,6,6.8,7.3
66,222500,109500,50.8525296,-4.529112071,6.3,7.1,7.5
67,223500,109500,50.85283651,-4.514918239,6.6,7.2,7.7
68,224500,109500,50.85314169,-4.500724159,6.2,6.9,7.4
69,225500,109500,50.85344515,-4.486529833,5.8,6.6,7.2
70,226500,109500,50.85374689,-4.472335262,6,6.7,7.2
71,227500,109500,50.8540469,-4.458140448,5.7,6.5,7
72,228500,109500,50.85434518,-4.443945392,5.4,6.2,6.8
73,219500,108500,50.84261407,-4.571197827,,,
74,220500,108500,50.84292606,-4.557007466,5.1,5.9,6.5
75,221500,108500,50.84323632,-4.542816854,5.3,6.1,6.7
76,222500,108500,50.84354485,-4.528625991,5.9,6.7,7.2
77,223500,108500,50.84385167,-4.514434879,5.9,6.7,7.2
78,224500,108500,50.84415675,-4.50024352,5.7,6.5,7.1
79,225500,108500,50.84446012,-4.486051916,6.1,6.8,7.3
80,226500,108500,50.84476175,-4.471860066,6,6.8,7.3
81,227500,108500,50.84506167,-4.457667974,5.6,6.4,6.9
82,219500,107500,50.83362961,-4.570703838,,,
